doculect,glottologFamily,iso,population,latitude,longitude,continent,nPhonemes
MAH_MERI,Austroasiatic,mhe,2990,2.83,101.5,Asia,58
MODELE,Atlantic-Congo,bby,2980,6.33,10.0,Africa,59
FULNIO,Fulnio,fun,2930,-8.0,-37.5,SouthAmerica,30
MBOWE,Atlantic-Congo,lyn,2880,-15.5,23.58,Africa,22
PUINAVE,Puinave,pui,2880,4.0,-68.0,SouthAmerica,19
CUIBA,Guahiboan,cui,2850,6.5,-70.0,SouthAmerica,25
COLORADO,Barbacoan,cof,2840,-1.0,-79.33,SouthAmerica,25
WARIHIO,Uto-Aztecan,var,2840,27.75,-108.67,SouthAmerica,26
APURINA,Arawakan,apu,2780,-9.0,-67.0,SouthAmerica,40
DJAMBARRPUYNGU,Pama-Nyungan,djr,2760,-12.17,135.5,Oceania,31
YURACARE_YURUJURE,Yurakare,yuz,2680,-16.58,-65.25,SouthAmerica,25
DUMO,Sko,vam,2670,-2.68,141.25,Oceania,28
KARAJA,Nuclear-Macro-Je,kpj,2670,-10.0,-50.33,SouthAmerica,24
WANGKA_WIRU,Pama-Nyungan,pjt,2660,-26.0,130.0,Oceania,25
TOCHO,Narrow_Talodi,taz,2650,10.83,30.25,Africa,27
AMBELE,Atlantic-Congo,ael,2600,5.92,9.67,Africa,51
COFAN,Cofan,con,2580,0.17,-77.17,SouthAmerica,35
WARLPIRI,Pama-Nyungan,wbp,2510,-20.0,132.33,Oceania,24
TUNEBO,Chibchan,tuf,2500,6.75,-72.25,SouthAmerica,19
APANIEKRA,Nuclear-Macro-Je,ram,2500,-7.0,-45.0,SouthAmerica,29
ANGAATAHA,Angan,agm,2500,-7.22,146.25,Oceania,21
NANKINA,Nuclear_Trans_New_Guinea,nnk,2500,-5.78,146.45,Oceania,20
EGA,Atlantic-Congo,ega,2500,5.5,-5.5,Africa,39
KAMDANG,Kadugli-Krongo,tey,2500,11.42,29.17,Africa,59
SAVOSAVO,Savosavo,svs,2420,-9.13,159.8,Oceania,22
JEBERO,Cahuapanan,jeb,2400,-5.42,-76.5,SouthAmerica,23
KUOT,Kuot,kto,2400,-3.05,151.5,Oceania,19
LONGTO,Atlantic-Congo,wok,2400,8.33,13.08,Africa,31
NORTHERN_MAO,Blue_Nile_Mao,myf,2300,9.92,34.5,Africa,36
MATSES,Pano-Tacanan,mcf,2230,-5.42,-73.25,SouthAmerica,21
WAIWAI,Cariban,waw,2230,1.0,-59.0,SouthAmerica,20
TAFOTA_BARUGA,Nuclear_Trans_New_Guinea,bjz,2230,-9.05,148.95,Oceania,24
KELA,Austronesian,kcl,2200,-7.42,147.08,Oceania,30
CHOROTE_IYOWUJWA,Matacoan,crq,2150,-22.5,-62.5,SouthAmerica,21
TSOU,Austronesian,tsu,2130,23.5,120.8,Asia,21
KOREGUAJE,Tucanoan,coe,2100,1.0,-75.5,SouthAmerica,30
LAKOTA,Siouan,lkt,2100,43.83,-101.83,NorthAmerica,36
SIAR,Austronesian,sjr,2080,-4.67,152.92,Oceania,22
MOKSCHA_MORDWINISCH,Uralic,mdf,2030,54.0,44.0,Europe,40
LUSI,Austronesian,khl,2000,-5.58,149.67,Oceania,28
HAWAIIAN_3,Austronesian,haw,2000,19.58,-155.5,Oceania,19
PARESI,Arawakan,pab,2000,-14.0,-57.0,SouthAmerica,19
LEALAO_CHINANTEC,Otomanguean,cle,2000,17.33,-95.92,SouthAmerica,35
YESSAN_MAYO,Sepik,yss,1990,-4.17,142.58,Oceania,20
PAKAANOVA,Chapacuran,pav,1930,-11.33,-65.0,SouthAmerica,20
AMARAKAERI,Harakmbut,amr,1910,-12.5,-70.5,SouthAmerica,33
KASHIBO_SAN_ALEJANDRO,Pano-Tacanan,cbr,1900,-8.5,-75.5,SouthAmerica,21
KRAHO,Nuclear-Macro-Je,xra,1900,-8.0,-48.0,SouthAmerica,46
AWARA,Nuclear_Trans_New_Guinea,awx,1900,-6.17,146.75,Oceania,25
BARASANO,Tucanoan,bsn,1890,-0.17,-70.67,SouthAmerica,17
PIRATAPUYO_2,Tucanoan,pir,1880,0.33,-69.5,SouthAmerica,24
DAMANA,Chibchan,mbp,1850,11.0,-73.5,SouthAmerica,27
MISSONG,Atlantic-Congo,mij,1850,6.58,10.25,Africa,36
TACANA,Pano-Tacanan,tna,1820,-13.5,-68.0,SouthAmerica,22
XERENTE,Nuclear-Macro-Je,xer,1810,-10.0,-48.17,SouthAmerica,27
YUCUNA,Arawakan,ycn,1800,-0.75,-71.0,SouthAmerica,21
MOTLAV,Austronesian,mlv,1800,-13.66,167.69,Oceania,22
JEMEZ,Kiowa-Tanoan,tow,1790,35.83,-107.0,NorthAmerica,61
LAVUKALEVE,Lavukaleve,lvk,1780,-9.08,159.2,Oceania,20
DARMIYA,Sino-Tibetan,drd,1750,30.0,79.75,Asia,42
TIWI,Tiwi,tiw,1740,-11.5,131.0,Oceania,26
PATEP,Austronesian,ptp,1700,-6.92,146.58,Oceania,44
KOIARI_2,Koiarian,kbk,1700,-9.5,147.33,Oceania,16
PINTUPI,Pama-Nyungan,piu,1690,-23.0,129.0,Oceania,23
MONGOWAR,Senagi,kbv,1690,-3.58,141.0,Oceania,17
CAVINENA_2,Pano-Tacanan,cav,1680,-13.33,-66.5,SouthAmerica,24
KORYAK,Chukotko-Kamchatkan,kpy,1670,61.0,167.0,Asia,21
ALYAWARRA,Pama-Nyungan,aly,1660,-22.5,135.0,Oceania,32
WAORANI,Waorani,auc,1650,-1.0,-76.5,SouthAmerica,21
KEMANT_2,Afro-Asiatic,ahg,1650,12.67,37.42,Africa,39
VEPS,Uralic,vep,1640,60.0,35.0,Europe,44
UTE_SOUTHERN_PAIUTE,Uto-Aztecan,ute,1640,37.83,-113.33,NorthAmerica,37
WOGEO,Austronesian,woc,1620,-3.17,144.1,Oceania,20
TIWA_SOUTHERN,Kiowa-Tanoan,tix,1600,35.0,-106.33,NorthAmerica,41
CHAMACOCO,Zamucoan,ceg,1600,-20.58,-58.33,SouthAmerica,37
KADIWEU,Guaicuruan,kbc,1590,-20.0,-57.0,SouthAmerica,31
YAMINAWA,Pano-Tacanan,yaa,1570,-8.0,-73.0,SouthAmerica,22
TODA,Dravidian,tcx,1560,11.42,76.75,Asia,53
SALIBA_COLUMBIA,Jodi-Saliban,slc,1550,6.0,-70.0,SouthAmerica,32
PALIKUR,Arawakan,plu,1540,3.0,-51.0,SouthAmerica,24
ALAMBLAK,Sepik,amp,1530,-4.67,143.33,Oceania,25
TIRIYO,Cariban,tri,1530,3.25,-55.75,SouthAmerica,24
FATAKAI_NUAULU_SERAM,Austronesian,nxl,1500,-3.25,129.17,Oceania,17
NYAKUR_2,Austroasiatic,cbn,1500,15.67,101.67,Asia,50
MACA,Matacoan,mca,1500,-25.0,-57.5,SouthAmerica,32
CHIRICAHUA,Athabaskan-Eyak-Tlingit,apm,1500,33.25,-108.0,NorthAmerica,51
JOMANG,Narrow_Talodi,tlo,1500,10.58,30.5,Africa,21
SAN_JUAN_CHIQUIHUITLAN,Otomanguean,maq,1500,17.75,-96.92,SouthAmerica,38
MOVIMA,Movima,mzp,1450,-13.83,-65.67,SouthAmerica,23
HUNZIB,Nakh-Daghestanian,huz,1420,42.17,46.25,Asia,60
WANUMA,Nuclear_Trans_New_Guinea,wnu,1400,-4.83,145.17,Oceania,20
MIAN,Nuclear_Trans_New_Guinea,mpt,1400,-4.9,141.62,Oceania,25
BORORO,Bororoan,bor,1392,-16.0,-57.0,SouthAmerica,20
BARIAI,Austronesian,bch,1380,-5.48,148.63,Oceania,17
KIOWA,Kiowa-Tanoan,kio,1270,37.0,-99.0,NorthAmerica,42
MAXAKALI,Nuclear-Macro-Je,mbl,1270,-18.0,-40.0,SouthAmerica,20
APINAYE,Nuclear-Macro-Je,apn,1260,-5.5,-48.0,SouthAmerica,49
MATBAT,Austronesian,xmt,1250,-1.7,130.2,Oceania,20
JUPDA,Nadahup,jup,1240,0.17,-69.25,SouthAmerica,29
BELAIT,Austronesian,beg,1240,4.6,114.33,Asia,25
SEIMAT,Austronesian,ssg,1240,-1.5,144.2,Oceania,28
