doculect,glottologFamily,iso,population,latitude,longitude,continent,nPhonemes
MANDARIN,Sino-Tibetan,cmn,897902930,34.0,110.0,Asia,43
SPANISH,Indo-European,spa,436667750,40.0,-4.0,Europe,25
ENGLISH,Indo-European,eng,339370920,52.0,0.0,Europe,40
HINDI,Indo-European,hin,260123420,25.0,77.0,Asia,94
PORTUGUESE,Indo-European,por,218765470,39.0,-8.0,Europe,38
BENGALI,Indo-European,ben,189144830,24.0,90.0,Asia,53
RUSSIAN,Indo-European,rus,153612510,56.0,38.0,Europe,38
MALANG,Austronesian,jav,84368500,-7.97,112.62,Oceania,30
SUZHOU_WU,Sino-Tibetan,wuu,80102480,31.3,120.6,Asia,41
KOREAN,Koreanic,kor,77233270,37.5,128.0,Asia,40
STANDARD_GERMAN,Indo-European,deu,76813820,52.0,10.0,Europe,39
FRENCH,Indo-European,fra,76096430,48.0,2.0,Europe,40
TELUGU,Dravidian,tel,74244300,16.0,79.0,Asia,68
CANTONESE,Sino-Tibetan,yue,72893210,23.0,113.0,Asia,32
MARATHI,Indo-European,mar,71775760,19.0,76.0,Asia,55
TURKISH_2,Turkic,tur,71083170,39.0,35.0,Asia,40
URDU,Indo-European,urd,69050130,25.0,67.0,Asia,54
VIETNAMESE,Austroasiatic,vie,68058620,10.5,106.5,Asia,39
TAMIL,Dravidian,tam,67965790,11.0,78.5,Asia,33
CAIRO_ARABIC,Afro-Asiatic,arz,64542400,30.0,31.0,Africa,67
ITALIAN,Indo-European,ita,63370110,43.0,12.0,Europe,30
PERSIAN,Indo-European,pes,52939220,32.0,54.0,Asia,30
HAKKA,Sino-Tibetan,hak,47824550,25.0,116.0,Asia,31
GUJARATI,Indo-European,guj,46857670,23.0,72.0,Asia,60
POLISH,Indo-European,pol,40441370,52.0,20.0,Europe,37
BHOIPURI,Indo-European,bho,39445300,26.0,84.0,Asia,51
KANNADA,Dravidian,kan,37739040,14.0,76.0,Asia,47
UKRAINIAN,Indo-European,ukr,34710100,49.0,33.0,Europe,30
MALAYALAM,Dravidian,mal,34451800,10.0,76.5,Asia,43
SUNDANESE,Austronesian,sun,34000000,-7.0,107.0,Oceania,26
YANGON_BURMESE,Sino-Tibetan,mya,32875600,16.8,96.15,Asia,50
ORIYA,Indo-European,ory,32137870,21.0,85.0,Asia,43
PUNJABI_MAJHI,Indo-European,pan,29258970,31.0,74.0,Asia,73
ARABIC_SUDANESE_SPOKEN,Afro-Asiatic,apd,28876000,15.55,32.53,Africa,62
HAUSA,Afro-Asiatic,hau,27374100,12.0,7.0,Africa,45
UZBEK,Turkic,uzn,25170100,40.67,66.5,Asia,30
TAGALOG,Austronesian,tgl,24628290,15.0,121.0,Oceania,28
ROMANIAN,Indo-European,ron,24150840,46.0,25.0,Europe,31
MOROCCAN_ARABIC,Afro-Asiatic,ary,23301200,34.0,-6.0,Africa,78
INDONESIAN,Austronesian,ind,23195070,0.0,106.0,Oceania,31
DUTCH,Indo-European,nld,22163020,52.5,6.0,Europe,39
AMHARIC_2,Afro-Asiatic,amh,21820220,10.0,38.0,Africa,59
DIR_PASHTO,Indo-European,pbu,21038000,35.21,71.88,Asia,33
TAI,Tai-Kadai,tha,20548550,16.0,101.0,Asia,45
SERAIKI,Indo-European,skr,20068000,34.0,71.41,Asia,83
YORUBA,Atlantic-Congo,yor,19043700,8.0,4.33,Africa,29
IGBO_ONITSHA,Atlantic-Congo,ibo,18007950,6.0,7.33,Africa,65
SOMALI,Afro-Asiatic,som,16396400,3.0,45.0,Africa,52
KHMER_2,Austroasiatic,khm,16390040,12.5,105.0,Asia,42
SWAHILI_CHIRAZI,Atlantic-Congo,swh,15992010,-4.02,39.43,Africa,36
CEBUANO,Austronesian,ceb,15810000,10.0,124.0,Oceania,21
NEPALI,Indo-European,npi,15372600,28.0,85.0,Asia,47
KURDISH_KURMANJI,Indo-European,kmr,15103230,38.0,42.0,Asia,47
SINHALA,Indo-European,sin,14210660,7.0,80.5,Asia,53
AZERBAIJANI_SOUTHERN,Turkic,azb,13973280,37.5,47.0,Asia,33
GREEK,Indo-European,ell,13077490,39.0,22.0,Europe,26
ASSAMESE,Indo-European,asm,12828220,26.0,93.0,Asia,37
HUNGARIAN,Uralic,hun,12597540,47.0,20.0,Europe,65
RWANDA,Atlantic-Congo,kin,12115000,-2.0,30.0,Africa,49
ZULU,Atlantic-Congo,zul,11772100,-30.0,30.0,Africa,43
FULFULDE,Atlantic-Congo,fuv,11585000,8.17,10.5,Africa,57
QUETTA_PASHTO,Indo-European,pbt,10734800,30.21,67.02,Asia,33
CZECH,Indo-European,ces,10677190,50.0,15.0,Europe,38
KIRUNDI,Atlantic-Congo,run,10661000,-3.5,30.0,Africa,29
UYGHUR,Turkic,uig,10399460,40.0,80.0,Asia,43
JAMTLANDIC,Indo-European,swe,9244250,63.0,14.67,Europe,35
TEREKEME_AZERI,Turkic,azj,9227260,41.08,45.38,Asia,34
FUZHOU_CHINESE,Sino-Tibetan,cdo,9114870,26.08,119.31,Asia,21
SERBOCROATIAN,Indo-European,srp,8485306,44.0,19.0,Europe,34
TWI_ASANTE,Atlantic-Congo,aka,8214000,6.61,-1.58,Africa,40
S41_XHOSA,Atlantic-Congo,xho,8169300,-32.0,27.0,Africa,84
BULGARIAN,Indo-European,bul,8068620,42.5,25.0,Europe,49
TAJIK,Indo-European,tgk,7863920,38.4,70.0,Asia,29
TIGRINYA,Afro-Asiatic,tir,7747400,14.5,38.5,Africa,39
MALAGASY_TAIMORO,Austronesian,plt,7544380,-22.5,47.9,Oceania,36
F21_SUKUMA,Atlantic-Congo,suk,7300000,-2.83,32.0,Africa,57
KURDISH_CENTRAL,Indo-European,ckb,7250000,36.0,44.0,Asia,39
SHONA_2,Atlantic-Congo,sna,7223100,-18.0,31.0,Africa,42
AFRIKAANS,Indo-European,afr,7218390,-31.0,22.0,Africa,39
TURKMEN_2,Turkic,tuk,7097970,40.0,58.0,Asia,37
ILOKANO,Austronesian,ilo,7016400,16.0,121.0,Oceania,21
MADURESE,Austronesian,mad,6770900,-7.0,113.5,Oceania,35
GIKUYU_2,Atlantic-Congo,kik,6623000,-0.75,36.75,Africa,32
LAKKI_MARWAT_PASHTO,Indo-European,pst,6520000,32.6,70.91,Asia,38
MOORE,Atlantic-Congo,mos,6469300,12.83,-1.25,Africa,43
BODOBELGHORIA_SANTALI,Austroasiatic,sat,6219300,24.5,87.0,Asia,46
GUARANI,Tupian,gug,6050000,-26.0,-56.0,SouthAmerica,36
LAMPANG_THAI,Tai-Kadai,nod,6029500,18.3,99.5,Asia,33
UMBUNDU,Atlantic-Congo,umb,6000000,-12.5,15.0,Africa,30
HILIGAYNON,Austronesian,hil,5770000,10.25,123.0,Oceania,25
BERNESE_GERMAN,Indo-European,gsw,5724200,47.0,7.42,Europe,56
KABYLE_GREATER_KABYLIA_AT_MANGELLAT,Afro-Asiatic,kab,5586000,36.05,5.0,Africa,30
LUGANDA,Atlantic-Congo,lug,5563450,0.5,32.17,Africa,33
DANISH,Indo-European,dan,5532120,56.0,10.0,Europe,69
MINANGKABAU,Austronesian,min,5530000,-1.0,101.0,Oceania,33
KASHMIRI,Indo-European,kas,5484830,34.0,76.0,Asia,56
FINNISH,Uralic,fin,5413380,62.0,25.0,Europe,42
WESTERN_ARMENIAN,Indo-European,hye,5327020,38.5,43.5,Asia,37
WOLOF,Atlantic-Congo,wol,5260600,15.25,-16.0,Africa,40
CROATIAN,Indo-European,hrv,5256400,45.82,15.98,Europe,36
HEBREW,Afro-Asiatic,heb,5239200,31.5,34.83,Asia,30
NORWEGIAN_BOKMAAL,Indo-European,nor,5193250,61.0,8.0,Europe,40
TATAR,Turkic,tat,5188710,56.0,49.5,Asia,43
SLOVAK,Indo-European,slk,5149000,49.0,20.0,Europe,44
BUGINESE,Austronesian,bug,5017800,-4.0,120.0,Oceania,25
KYRGYZ,Turkic,kir,4908350,42.0,75.0,Asia,36
ARABIC_LIBYAN_SPOKEN,Afro-Asiatic,ayl,4802000,32.0,22.0,Africa,50
EASTERN_OROMO,Afro-Asiatic,hae,4530000,9.0,42.0,Africa,60
SONGKHLA_THAI,Tai-Kadai,sou,4500000,7.19,101.0,Asia,35
FULA,Atlantic-Congo,fuc,4459000,15.0,-14.0,Africa,38
LUO,Nilotic,luo,4184000,-0.5,34.75,Africa,35
EWE_ADANGBE,Atlantic-Congo,ewe,4184000,6.33,0.42,Africa,45
LAMANI,Indo-European,lmn,4150000,17.0,77.0,Asia,34
BEMBA,Atlantic-Congo,bem,4110000,-10.0,30.0,Africa,25
VALENCIAN,Indo-European,cat,4105420,39.47,-0.38,Europe,39
BAMBARA,Mande,bam,4096380,12.5,-7.5,Africa,35
BORANA_OROMO,Afro-Asiatic,gax,3949600,4.5,38.5,Africa,36
TASHELHIT_IDA_USEMLAL,Afro-Asiatic,shi,3896000,29.53,-9.61,Africa,31
GEORGIAN,Kartvelian,kat,3669500,42.0,44.0,Asia,35
KANURI,Saharan,knc,3602500,12.0,13.0,Africa,35
ACEH,Austronesian,ace,3500032,5.5,95.5,Oceania,55
DJENNE_CHIINI,Songhay,dje,3370100,13.83,2.17,Africa,40
HIMA_RDC,Atlantic-Congo,nyn,3370000,-0.5,30.5,Africa,28
BALI,Austronesian,ban,3330000,-8.33,115.25,Asia,24
SHAN_2,Tai-Kadai,shn,3295000,22.0,98.0,Asia,34
LAOTIEN,Tai-Kadai,lao,3253700,18.0,103.0,Asia,40
BEJA,Afro-Asiatic,bej,3239000,18.0,36.0,Africa,26
LITHUANIAN,Indo-European,lit,3069590,55.0,24.0,Europe,47
BALOCHI_EASTERN,Indo-European,bgp,3050800,28.0,62.0,Asia,54
BAULE,Atlantic-Congo,bci,3014060,7.0,-5.0,Africa,37
PULAR,Atlantic-Congo,fuf,2988200,11.5,-12.5,Africa,38
SIDAMO,Afro-Asiatic,sid,2980000,6.75,38.3,Africa,35
YAY,Tai-Kadai,pcc,2649100,22.42,104.75,Asia,38
MONGOLIAN,Mongolic,khk,2626590,47.0,105.0,Asia,35
YAO_2,Atlantic-Congo,yao,2521000,-14.5,35.5,Africa,29
LEGAZPI,Austronesian,bcl,2500000,13.33,123.5,Oceania,28
TAMAZIGHT_CENTRAL_ATLAS_AYT_IZDEG,Afro-Asiatic,tzm,2490000,33.2,-4.4,Africa,39
BRAHUI,Dravidian,brh,2433600,28.5,67.0,Asia,33
KONKANI,Indo-European,knn,2423540,15.25,74.0,Asia,37
GALICIAN,Indo-European,glg,2392000,43.0,-8.0,Europe,28
KICHE,Mayan,quc,2330000,15.0,-91.42,SouthAmerica,32
LINGALA_2,Atlantic-Congo,lin,2256710,2.0,18.5,Africa,22
TIV_2,Atlantic-Congo,tiv,2210000,7.5,9.0,Africa,40
JULA_VEHICULAIRE,Mande,dyu,2208000,9.83,-4.67,Africa,39
MAKASSARESE,Austronesian,mak,2130000,-5.42,119.58,Oceania,23
LANGO,Nilotic,laj,2130000,2.17,33.0,Africa,40
SLOVENIAN,Indo-European,slv,2104630,46.0,15.0,Europe,37
SASAK,Austronesian,sas,2100000,-8.67,116.5,Asia,30
ALBANIAN_GHEG,Indo-European,aln,2046480,41.33,20.83,Europe,43
BALOCHI_WESTERN,Indo-European,bgn,2024540,37.83,62.17,Asia,44
SONINKE,Mande,snk,2017110,15.0,-10.5,Africa,39
NUOSU_YI,Sino-Tibetan,iii,2000000,27.88,102.27,Asia,74
SAXON_UPPER,Indo-European,sxu,2000000,51.33,12.48,Europe,35
TOBA_BATAK,Austronesian,bbc,2000000,2.5,99.0,Oceania,21
MENDE,Mande,men,1976000,7.83,-11.5,Africa,34
AFAR,Afro-Asiatic,aar,1968000,12.0,42.0,Africa,27
LUGBARA,Central_Sudanic,lgg,1940000,3.08,30.92,Africa,42
KALENJIN,Nilotic,sgc,1916000,0.5,35.27,Africa,37
KAPAMPANGAN,Austronesian,pam,1905430,15.33,120.5,Oceania,22
ALBANIAN_TOSK,Indo-European,als,1885900,41.0,20.0,Europe,35
WETAWIT,Berta,wti,1810000,10.33,34.67,Africa,29
KURUKH,Dravidian,kru,1804200,22.83,85.5,Asia,68
MAQU_TIBETAN,Sino-Tibetan,adx,1800000,34.0,102.07,Asia,59
MAKONDE,Atlantic-Congo,kde,1777000,-11.0,40.0,Africa,28
MAAY,Afro-Asiatic,ymm,1750000,4.0,44.0,Africa,32
HAYA,Atlantic-Congo,hay,1740000,-2.0,31.5,Africa,29
MALINKE,Mande,mlq,1733000,13.0,-11.0,Africa,27
WELAMO,Ta-Ne-Omotic,wal,1710000,6.83,37.75,Africa,48
BULU,Atlantic-Congo,bum,1658000,3.0,11.0,Africa,36
MASABA,Atlantic-Congo,myx,1650000,1.33,34.25,Africa,63
NORTHERN_NDEBELE,Atlantic-Congo,nde,1634800,-20.0,29.0,Africa,68
THEMNE,Atlantic-Congo,tem,1630000,8.67,-13.08,Africa,25
KABARDIAN,Abkhaz-Adyge,kbd,1628500,43.5,43.5,Asia,56
MARAGUA,Quechuan,quh,1615120,-19.05,-65.43,SouthAmerica,37
MACEDONIAN,Indo-European,mkd,1612550,41.67,21.75,Europe,32
LATVIAN,Indo-European,lvs,1602460,57.0,24.0,Europe,42
YIDDISH_EASTERN,Indo-European,ydd,1546280,52.0,23.0,Europe,47
ACHOLI,Nilotic,ach,1527000,3.0,32.67,Africa,29
IBIBIO_2,Atlantic-Congo,ibb,1500000,5.25,7.83,Africa,32
CUZCO_GNL,Quechuan,quz,1500000,-13.52,-71.98,SouthAmerica,31
CHECHEN,Nakh-Daghestanian,che,1496300,43.25,45.83,Asia,44
CENTRAL_AYMARA_2,Aymaran,ayr,1489000,-17.0,-69.0,SouthAmerica,32
MEITEI,Sino-Tibetan,mni,1485000,24.75,94.0,Asia,33
CHAHA,Afro-Asiatic,sgw,1480000,8.0,37.5,Africa,42
KAREN_SGAW,Sino-Tibetan,ksw,1480000,18.0,97.0,Asia,39
J31c_BUKUSU,Atlantic-Congo,bxk,1470100,0.75,34.67,Africa,30
MAASAI,Nilotic,mas,1455000,-3.0,36.0,Africa,43
M64_TONGA_2,Atlantic-Congo,toi,1448000,-17.0,27.0,Africa,41
KWANYAMA,Atlantic-Congo,kua,1441000,-17.0,16.5,Africa,33
TARIFIT_GUELAIA,Afro-Asiatic,rif,1423000,34.5,-4.0,Africa,49
SERER_SINE,Atlantic-Congo,srr,1410700,14.2,-16.3,Africa,43
DANANSHAN_HMONG,Hmong-Mien,cqd,1400000,23.75,105.91,Asia,56
SURIN,Austroasiatic,kxm,1400000,14.58,103.25,Asia,43
TIGRE_2,Afro-Asiatic,tig,1390000,16.5,38.5,Africa,54
RGYALTHANG,Sino-Tibetan,khg,1380300,28.47,98.65,Asia,62
NGAMBAY,Central_Sudanic,sba,1377000,8.67,16.0,Africa,34
BODO_INDIA,Sino-Tibetan,brx,1334380,26.83,92.0,Asia,21
MANDINKA,Mande,mnk,1325000,13.42,-16.0,Africa,34
NYAMWEZI,Atlantic-Congo,nym,1320000,-5.0,33.0,Africa,53
BASHKIR,Turkic,bak,1252070,53.0,58.0,Asia,38
HADIYYA,Afro-Asiatic,hdy,1250000,7.25,38.0,Africa,56
FONGBE,Atlantic-Congo,fon,1225500,6.42,2.17,Africa,42
TAMANG,Sino-Tibetan,taj,1197500,28.0,85.25,Asia,29
TIBETAN_LHASA,Sino-Tibetan,bod,1172940,30.0,91.0,Asia,34
PANGASINAN,Austronesian,pag,1162140,15.92,120.3,Oceania,21
DAGBANI,Atlantic-Congo,dag,1160000,9.58,-0.5,Africa,37
ZANDE,Atlantic-Congo,zne,1142000,4.0,26.0,Africa,35
ESTONIAN,Uralic,ekk,1130540,59.0,26.0,Europe,54
MUNDARI,Austroasiatic,unr,1120280,23.0,84.67,Asia,37
SUSU,Mande,sus,1106110,10.0,-13.0,Africa,35
CHUVASH,Turkic,chv,1080000,55.5,47.5,Asia,39
FANG_MEKE,Atlantic-Congo,fan,1071900,-1.0,11.42,Africa,41
DACHE,Ta-Ne-Omotic,gmv,1070000,6.7,37.05,Africa,36
TAUSUG,Austronesian,tsg,1062000,6.0,121.0,Oceania,23
FULFULDE_MAASINA,Atlantic-Congo,ffm,1045440,15.0,-5.0,Africa,37
GOURMANCHEMA,Atlantic-Congo,gux,1042500,12.25,1.0,Africa,33
DANGME,Atlantic-Congo,ada,1020000,6.33,-0.12,Africa,39
NGBAKA_BOKANGA,Atlantic-Congo,nga,1016650,3.5,20.0,Africa,34
GARO,Sino-Tibetan,grt,1009000,25.67,90.5,Asia,26
OGULAGHA,Ijoid,ijc,1000000,4.92,5.67,Africa,37
EDO,Atlantic-Congo,bin,1000000,6.42,5.83,Africa,48
TAHOSS,Atlantic-Congo,bom,1000000,9.67,8.83,Africa,29
IGBIRRA,Atlantic-Congo,igb,1000000,8.17,7.0,Africa,31
FULFULDE_ADAMAWA,Atlantic-Congo,fub,999500,9.17,13.5,Africa,34
MENDHAR_GUJARI,Indo-European,gju,992000,33.62,74.13,Asia,50
KABIYE,Atlantic-Congo,kbp,984300,9.67,1.17,Africa,47
NUNG,Tai-Kadai,nut,969000,21.92,106.42,Asia,32
NANDI_2,Nilotic,niq,949000,0.25,35.0,Africa,23
RABAI_2,Atlantic-Congo,nyf,944000,-3.5,39.67,Africa,47
LISU,Sino-Tibetan,lis,942700,26.0,98.0,Asia,39
JINGPHO,Sino-Tibetan,kac,940000,25.33,97.0,Asia,30
DAGAARE,Atlantic-Congo,dga,924000,10.5,-2.67,Africa,54
KUI,Dravidian,kxu,916000,20.0,83.5,Asia,39
KONKOMBA,Atlantic-Congo,xon,915700,10.0,0.08,Africa,42
ATALLA,Quechuan,quy,900000,-12.76,-74.87,SouthAmerica,17
NUER,Nilotic,nus,893000,8.33,32.0,Africa,48
MANADONESE,Austronesian,xmm,850000,1.5,124.83,Oceania,25
FRISIAN_WESTERN,Indo-European,fry,845200,53.0,6.0,Europe,51
KHASI_2,Austroasiatic,kha,843000,25.5,92.0,Asia,28
KEFA,Ta-Ne-Omotic,kbr,835000,7.25,36.25,Africa,27
CHIANGRAI_MIEN,Hmong-Mien,ium,818700,19.55,99.5,Asia,49
KEKCHI,Mayan,kek,817600,16.0,-89.83,SouthAmerica,26
ZHONGKE_WA,Austroasiatic,prk,805700,22.8,99.61,Asia,77
TETSERRET,Afro-Asiatic,ttq,801000,15.45,6.27,Africa,37
DASHI_BAI,Sino-Tibetan,bca,800000,26.31,100.22,Asia,29
QUICHUA_CHIMBORAZO_NIZAG,Quechuan,qug,800000,-2.23,-78.84,SouthAmerica,36
NUPE,Atlantic-Congo,nup,800000,9.1,5.42,Africa,38
KHMU,Austroasiatic,kjg,797500,21.0,102.0,Asia,41
IBAN,Austronesian,iba,784300,2.0,112.0,Asia,25
KOK_BOROK_2,Sino-Tibetan,trp,783000,24.33,92.5,Asia,34
MARANAO,Austronesian,mrw,776000,7.83,124.3,Oceania,17
NIAS_NORTHERN,Austronesian,nia,770000,1.0,97.75,Oceania,25
LENDU_DDRADHA,Central_Sudanic,led,768900,2.0,30.05,Africa,55
AVAR_HID,Nakh-Daghestanian,ava,766500,42.33,46.72,Asia,49
MAYA_YUCATECA,Mayan,yua,762520,20.0,-89.0,SouthAmerica,30
KPELLE,Mande,xpe,760000,7.0,-10.0,Africa,49
FUR,Furan,fvr,745800,13.5,25.0,Africa,30
GA,Atlantic-Congo,gaa,745000,5.67,-0.17,Africa,47
MAMARA_SENOUFO,Atlantic-Congo,myk,738000,12.5,-5.5,Africa,50
POKOT,Nilotic,pko,738000,1.5,35.5,Africa,39
MENGLIAN_TAI,Tai-Kadai,tdd,717400,22.33,99.58,Asia,29
KAMBAATA,Afro-Asiatic,ktb,713000,7.4,37.75,Africa,59
NDONGA_2,Atlantic-Congo,ndo,700000,-18.0,17.0,Africa,30
TERNATE_PASAR,Austronesian,max,700000,-1.0,128.33,Oceania,27
LUSHAI,Sino-Tibetan,lus,687750,23.17,92.83,Asia,43
ANYI,Atlantic-Congo,any,676400,7.0,-3.5,Africa,40
NOBIIN,Nubian,fia,669000,21.0,31.0,Africa,45
KARIMOJONG,Nilotic,kdj,666000,3.0,34.17,Africa,66
BAATONUM,Atlantic-Congo,bba,664000,10.0,2.05,Africa,30
FRAFRA,Atlantic-Congo,gur,663100,10.83,-0.92,Africa,30
MIKRAKH_LEZGI,Nakh-Daghestanian,lez,647810,41.37,47.88,Asia,47
SAMIA,Atlantic-Congo,lsm,646000,0.5,34.0,Africa,34
BISA,Mande,bib,640000,11.5,-0.5,Africa,24
K14_LWENA_2,Atlantic-Congo,lue,635000,-12.0,22.0,Africa,36
MANGBETU_2,Central_Sudanic,mdj,620000,2.5,26.5,Africa,47
DIGOR_OSSETIAN,Indo-European,oss,617570,43.0,44.0,Europe,39
IDOMA,Atlantic-Congo,idu,600000,6.92,7.05,Africa,75
KARO_BATAK,Austronesian,btx,600000,3.25,98.25,Oceania,24
WELSH,Indo-European,cym,590890,52.0,-3.0,Europe,48
ADYGHE,Abkhaz-Adyge,ady,585500,45.23,40.58,Asia,59
KARAKALPAK,Turkic,kaa,584670,43.0,60.0,Asia,38
EWONDO_2,Atlantic-Congo,ewo,578000,4.0,12.0,Africa,34
KORKU,Austroasiatic,kfq,574000,22.5,78.5,Asia,37
GELANGHE_AKHA,Sino-Tibetan,ahk,563960,21.86,100.57,Asia,44
KAREN_PAO,Sino-Tibetan,blk,560740,25.35,100.32,Asia,34
AWNGI,Afro-Asiatic,awn,553400,10.83,36.67,Africa,39
MISING,Sino-Tibetan,mrg,551000,28.5,94.83,Asia,46
LUE_CHIENG_HUNG,Tai-Kadai,khb,550960,22.0,100.67,Asia,31
KUSAL,Atlantic-Congo,kus,549000,11.05,-0.19,Africa,44
KULLO,Ta-Ne-Omotic,dwr,543000,6.75,37.08,Africa,29
BASQUE,Basque,eus,541600,43.0,-3.0,Europe,28
MAM_SAN_SEBASTIAN_H,Mayan,mam,540500,15.0,-91.83,SouthAmerica,43
IZI,Atlantic-Congo,izz,540000,6.33,8.0,Africa,51
LOVARA_ROMANI,Indo-European,rmy,538480,47.0,21.5,Europe,39
DAZAGA,Saharan,dzg,537000,16.0,15.0,Africa,32
LAHU_2,Sino-Tibetan,lhu,530350,20.0,98.17,Asia,40
MAMBWE,Atlantic-Congo,mgr,502000,-9.08,31.17,Africa,36
GURO,Mande,goa,500000,7.0,-6.0,Africa,57
TAMASHEQ,Afro-Asiatic,taq,500000,14.05,-0.25,Africa,43
TSCHEREMISSISCH_URZUM,Uralic,mhr,482000,57.0,48.0,Europe,34
MALTESE,Afro-Asiatic,mlt,474310,35.92,14.42,Europe,55
TETUN,Austronesian,tet,463500,-9.0,126.0,Oceania,19
KAM_ZHANGLU,Tai-Kadai,doc,463000,26.0,108.5,Asia,27
IRAQW_2,Afro-Asiatic,irk,462000,-4.0,35.5,Africa,48
KPELLE_GUINEA,Mande,gkp,460000,8.0,-9.0,Africa,35
KUI_THAILAND_2,Austroasiatic,kdt,452800,14.83,103.92,Asia,47
SAKHA,Turkic,sah,450000,62.0,130.0,Asia,49
REK,Nilotic,dik,450000,8.75,29.0,Africa,63
SANGO,Atlantic-Congo,sag,449000,5.0,18.0,Africa,37
PLAUTDIETSCH,Indo-European,pdt,447360,53.0,10.0,Europe,55
MASALIT,Maban,mls,440000,13.33,22.0,Africa,45
MANINKAKAN_KITA,Mande,mwk,434000,13.0,-9.5,Africa,33
KOROBORO_SENNI,Songhay,ses,430000,16.0,0.0,Africa,48
KUMYK,Turkic,kum,427800,43.0,47.33,Asia,31
RONGA,Atlantic-Congo,rng,424000,-26.0,32.5,Africa,69
SHUPAMEM,Atlantic-Congo,bax,420000,5.5,10.92,Africa,38
KARBI,Sino-Tibetan,mjw,420000,26.33,93.5,Asia,42
KURANKO,Mande,knk,411200,9.33,-11.25,Africa,54
VALANGI,Atlantic-Congo,lag,410000,-4.5,36.0,Africa,52
EFIK,Atlantic-Congo,efi,405260,4.92,8.5,Africa,20
LUNDA_2,Atlantic-Congo,lun,403000,-10.67,24.0,Africa,32
DIGO_1,Atlantic-Congo,dig,401000,-4.25,39.5,Africa,48
KOMO_2,Atlantic-Congo,kmw,400000,-0.25,26.5,Africa,35
LEGA_SHABUNDA_2,Atlantic-Congo,lea,400000,-2.83,27.17,Africa,38
FULIRU,Atlantic-Congo,flr,400000,-3.08,29.0,Africa,35
LOMONGO,Atlantic-Congo,lol,400000,0.0,21.0,Africa,56
ANGAS,Afro-Asiatic,anc,400000,9.5,9.5,Africa,44
DIOLA,Atlantic-Congo,dyo,397100,13.0,-16.0,Africa,29
DURUMA,Atlantic-Congo,dug,397000,-3.78,39.08,Africa,49
G44a_NGAZIDJA,Atlantic-Congo,zdj,396000,-11.8,43.3,Africa,48
MANN,Mande,mev,390000,7.0,-9.0,Africa,39
ATTIE,Atlantic-Congo,ati,381000,6.0,-3.75,Africa,47
NZEMA,Atlantic-Congo,nzi,365700,5.17,-2.5,Africa,40
DORLI_GONDI,Dravidian,kff,362000,17.5,81.33,Asia,24
KALMYK,Mongolic,xal,360800,46.32,44.27,Asia,39
KLAO,Atlantic-Congo,klu,351620,4.75,-8.75,Africa,27
GBARI,Atlantic-Congo,gby,350000,8.75,7.0,Africa,31
GHOMALA_2,Atlantic-Congo,bbj,350000,5.42,10.33,Africa,59
SHE,Ta-Ne-Omotic,bcq,348000,7.07,35.8,Africa,56
NZWANI,Atlantic-Congo,wni,348000,-12.1,44.5,Africa,39
RONDU_BALTI,Sino-Tibetan,bft,347000,35.0,76.0,Asia,53
BRUNEI,Austronesian,kxd,346000,4.94,114.94,Asia,22
MINGRELIAN,Kartvelian,xmf,345530,42.5,42.0,Asia,35
CHIN_TEDIM,Sino-Tibetan,ctd,344000,23.33,93.67,Asia,26
MALDIVIAN,Indo-European,div,340500,4.17,73.5,Asia,39
UDMURT,Uralic,udm,339800,57.5,52.5,Europe,36
KISSI,Atlantic-Congo,kqs,339700,9.06,-10.18,Africa,42
FIJIAN_2,Austronesian,fij,339210,-17.83,178.0,Oceania,30
KALANGA_2,Atlantic-Congo,kck,338000,-20.5,27.5,Africa,71
LUXEMBOURGISH,Indo-European,ltz,336000,49.83,6.17,Europe,46
BASSARI,Atlantic-Congo,bud,329000,10.08,0.5,Africa,30
MUNDANG,Atlantic-Congo,mua,326700,9.67,14.5,Africa,67
MAMPRULI,Atlantic-Congo,maw,326000,10.33,-0.67,Africa,32
INGUSH,Nakh-Daghestanian,inh,322900,43.17,45.08,Asia,48
WAYUU,Arawakan,guc,321000,12.0,-72.0,SouthAmerica,46
BERIA,Saharan,zag,315000,15.17,24.0,Africa,33
ICELANDIC,Indo-European,isl,313840,65.0,-17.0,Europe,39
MAADI,Central_Sudanic,mhi,311000,3.25,31.5,Africa,38
GONJA,Atlantic-Congo,gjn,310000,8.8,-0.75,Africa,39
HMONG_NJUA,Hmong-Mien,hnj,310000,28.0,105.0,Asia,61
HUBA,Afro-Asiatic,hbb,306000,10.33,13.17,Africa,31
NORTHERN_LOW_SAXON,Indo-European,nds,301000,53.1,8.78,Europe,37
SHUIQING_SUI,Tai-Kadai,swi,300120,26.9,107.9,Asia,54
NKAFA,Afro-Asiatic,hig,300000,10.54,13.32,Africa,35
NAXI,Sino-Tibetan,nxq,300000,27.5,100.0,Asia,49
BAMILEKE,Atlantic-Congo,ybb,300000,5.42,10.08,Africa,35
SAYA,Afro-Asiatic,say,300000,9.75,9.55,Africa,54
BASAA,Atlantic-Congo,bas,300000,3.92,10.5,Africa,41
MUNA,Austronesian,mnb,300000,-5.0,122.42,Oceania,33
TAROK,Atlantic-Congo,yer,300000,9.0,10.08,Africa,32
GAYO,Austronesian,gay,300000,4.5,97.5,Oceania,27
MACHAME,Atlantic-Congo,jmc,300000,-3.33,37.0,Africa,46
